actus-archive	26	0	
agent-tooling	14	12	116,122,127,136,154,156,164,174,208,213,214,224
bpmn-export	53	9	154,157,159,162,172,183,186,198,224
ci-build	10	28	107,116,157,160,162,163,167,175,176,177,178,188,189,190,193,194,196,198,200,204,206,207,209,213,221,224,225,227
corpus-legal-new	46	9	125,190,195,201,202,206,208,212,214
corpus-regcf	62	14	139,162,172,178,180,193,194,203,205,206,208,210,214,224
dmn-export	101	19	154,160,162,172,175,178,180,181,183,185,188,194,196,198,205,206,208,214,224
docs	92	21	89,104,105,109,116,122,127,128,134,135,166,168,170,172,174,189,190,211,219,222,224
experiments	64	2	140,190
go-pipeline	89	9	193,197,204,205,206,207,208,224,226
ladder-viz	196	12	109,110,116,137,138,159,162,177,191,198,210,224
lang-eval-ledger	180	9	89,111,125,130,172,174,189,211,214
lang-imports-stdlib	30	13	109,122,124,130,133,134,140,168,174,182,184,196,224
lang-printer	19	5	109,125,130,182,214
lang-sets	33	5	122,123,124,133,168
lang-syntax-typecheck	487	24	89,109,122,123,124,125,128,130,131,133,134,162,168,169,172,182,183,184,185,188,189,190,211,214
lsp	10	6	128,134,167,182,183,189
mlir	54	1	190
openfisca-export	35	0	
papers	67	6	129,132,134,171,172,224
proleg	13	0	
service-cli	41	19	110,116,130,134,154,159,160,162,167,180,182,183,185,189,190,198,207,210,214
specs	93	50	85,89,99,116,119,134,135,136,142,155,158,159,160,161,166,168,170,172,173,175,176,177,178,179,180,181,182,183,185,186,187,188,190,191,193,194,196,197,198,199,200,204,206,207,208,211,217,224,226,227
tests-cli	109	15	134,154,160,175,176,178,180,181,183,188,189,194,206,207,224
wizard-housing	36	1	97
wizard-regcf	55	1	200
