channel,venue,year,facets,title,authors,acq_url,doi,key
acm-paywall,ICAIL,2015,determinacy-frontier|bounded-deontics,Deontic defeasible reasoning in legal interpretation: two options for modelling interpretive arguments,Antonino Rotolo; Guido Governatori; Giovanni Sartor,https://doi.org/10.1145/2746090.2746100,10.1145/2746090.2746100,conf/icail/RotoloGS15
acm-paywall,ICAIL,2009,intro|cnl,Isomorphism and argumentation,Trevor J. M. Bench-Capon; Thomas F. Gordon,https://doi.org/10.1145/1568234.1568237,10.1145/1568234.1568237,conf/icail/Bench-CaponG09
acm-paywall,ICAIL,2013,cnl|bounded-deontics,OASIS LegalRuleML,Tara Athan; Harold Boley; Guido Governatori; Monica Palmirani; Adrian Paschke; Adam Z. Wyner,https://doi.org/10.1145/2514601.2514603,10.1145/2514601.2514603,conf/icail/AthanBGPPW13
acm-paywall,ICAIL,2013,fm-in-law|bounded-deontics,Temporal deontic action logic for the verification of compliance to norms in ASP,Laura Giordano; Alberto Martelli; Daniele Theseider Dupré,https://doi.org/10.1145/2514601.2514608,10.1145/2514601.2514608,conf/icail/GiordanoMD13
acm-paywall,ICAIL,1993,determinacy-frontier,Neural Networks and Open Texture,Trevor J. M. Bench-Capon,https://doi.org/10.1145/158976.159012,10.1145/158976.159012,conf/icail/Bench-Capon93
acm-paywall,ICAIL,2011,bounded-deontics|intro,Modelling temporal legal rules,Monica Palmirani; Guido Governatori; Giuseppe Contissa,https://doi.org/10.1145/2018358.2018378,10.1145/2018358.2018378,conf/icail/PalmiraniGC11
acm-paywall,ICAIL,2015,intro,RuleOMS: a rule-based online management system,Mohammad Badiul Islam; Guido Governatori,https://doi.org/10.1145/2746090.2746120,10.1145/2746090.2746120,conf/icail/IslamG15
acm-paywall,ICAIL,2013,fm-in-law|bounded-deontics,Regorous: a business process compliance checker,Guido Governatori; Sidney Shek,https://doi.org/10.1145/2514601.2514638,10.1145/2514601.2514638,conf/icail/GovernatoriS13
acm-paywall,ICAIL,2017,determinacy-frontier,A logical architecture for dynamic legal interpretation,Juliano S. A. Maranhão,https://doi.org/10.1145/3086512.3086525,10.1145/3086512.3086525,conf/icail/Maranhao17
acm-paywall,ICAIL,2003,bounded-deontics,Permissions and Obligations in Hierarchical Normative Systems,Guido Boella; Leendert W. N. van der Torre,https://doi.org/10.1145/1047788.1047818,10.1145/1047788.1047818,conf/icail/BoelleT03
acm-paywall,ICAIL,1991,bounded-deontics,The Structure of Norm Conditions and Nonmonotonic Reasoning in Law,Giovanni Sartor,https://doi.org/10.1145/112646.112665,10.1145/112646.112665,conf/icail/Sartor91
acm-paywall,ICAIL,1987,intro,Oblog-2: A Hybrid Knowledge Representation System for Defeasible Reasoning,Thomas F. Gordon,https://doi.org/10.1145/41735.41761,10.1145/41735.41761,conf/icail/Gordon87
