rank,composite,venue,year,is_seed,cites_cluster,cited_by_seed,indegree,cited_by_count,lex,facets,title,authors,oa_url,key
1,31.85,ICAIL,2005,1,13,7,8,144,6,bounded-deontics|defeasible-fm,Temporalised Normative Positions in Defeasible Logic,Guido Governatori; Antonino Rotolo; Giovanni Sartor,http://espace.library.uq.edu.au/view/UQ:9579/ic05.pdf,conf/icail/GovernatoriRS05
2,28.38,ICAIL,2011,1,27,7,8,29,3,defeasible-fm,On the relationship between Carneades and Defeasible Logic,Guido Governatori,,conf/icail/Governatori11
3,27.52,ICAIL,2015,1,7,3,5,51,8,bounded-deontics|defeasible-fm,Thou shalt is not you will,Guido Governatori,https://arxiv.org/pdf/1404.1685,conf/icail/Governatori15
4,26.04,ICAIL,2007,1,5,6,10,41,4,bounded-deontics|defeasible-fm,Variants of temporal defeasible logics for modelling norm modifications,Guido Governatori; Antonino Rotolo; Régis Riveret; Monica Palmirani; Giovanni Sartor,http://espace.library.uq.edu.au/view/UQ:13611/icail.pdf,conf/icail/GovernatoriRRPS07
5,25.34,ICAIL,2015,1,16,7,8,25,0,,"Factors, issues and values: revisiting reasoning with cases",Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/icail/Al-AbdulkarimAB15
6,25.25,ICAIL,2015,1,8,1,3,31,8,bounded-deontics|defeasible-fm|determinacy,Deontic defeasible reasoning in legal interpretation: two options for modelling interpretive arguments,Antonino Rotolo; Guido Governatori; Giovanni Sartor,,conf/icail/RotoloGS15
7,23.89,ICAIL,2011,1,11,4,4,27,2,defeasible-fm,Towards formalising argumentation about legal cases,Adam Z. Wyner; Trevor J. M. Bench-Capon; Katie Atkinson,https://zenodo.org/record/3438411,conf/icail/WynerBA11
8,23.62,JURIX,2021,1,7,6,6,8,0,,Explaining Factor Ascription,Jack Mumford; Katie Atkinson; Trevor J. M. Bench-Capon,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA210335,conf/jurix/MumfordAB21
9,23.57,ICAIL,2003,1,12,3,5,31,3,defeasible-fm,Induction of Defeasible Logic Theories in the Legal Domain,Benjamin Johnston; Guido Governatori,,conf/icail/JohnstonG03
10,23.06,JURIX,2013,1,9,3,3,16,3,defeasible-fm,Argumentation Schemes for Reasoning about Factors with Dimensions,Katie Atkinson; Trevor J. M. Bench-Capon; Henry Prakken; Adam Z. Wyner,,conf/jurix/AtkinsonBPW13
11,22.9,ICAIL,2005,1,12,3,6,63,2,defeasible-fm,Dialogues about the burden of proof,Henry Prakken; Chris Reed; Douglas Walton,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=1009&context=crrarpub,conf/icail/PrakkenRW05
12,22.77,ICAIL,2011,1,8,3,6,40,2,defeasible-fm,Analyzing open source license compatibility issues with Carneades,Thomas F. Gordon,http://publica.fraunhofer.de/documents/N-189297.html,conf/icail/Gordon11
13,22.62,JURIX,2011,1,4,5,11,84,3,bounded-deontics|cnl|intro-executable,On Rule Extraction from Regulations,Adam Z. Wyner; Wim Peters,,conf/jurix/WynerP11
14,22.44,ICAIL,2005,1,5,8,10,159,0,,"A study of accrual of arguments, with applications to evidential reasoning",Henry Prakken,https://pure.rug.nl/ws/files/2875708/icail05hp.pdf,conf/icail/Prakken05
15,22.32,ICAIL,2021,1,8,0,0,10,9,cnl|determinacy|intro-executable,"Converting copyright legislation into machine-executable code: interpretation, coding validation and legal alignment",Alice Witt; Anna Huggins; Guido Governatori; Joshua Buckley,https://figshare.com/articles/conference_contribution/Converting_copyright_legislation_into_machine-executable_code_interpretation_coding_validation_and_legal_alignment/27593496,conf/icail/WittHGB21
16,22.04,ICAIL,2009,1,12,2,5,28,3,cnl,Isomorphism and argumentation,Trevor J. M. Bench-Capon; Thomas F. Gordon,,conf/icail/Bench-CaponG09
17,21.92,JURIX,2016,1,11,4,5,18,0,,Statement Types in Legal Argument,Latifa Al-Abdulkarim; Katie Atkinson; Trevor J. M. Bench-Capon,,conf/jurix/Al-AbdulkarimAB16
18,21.88,JURIX,2017,1,9,4,5,16,0,,Dimensions and Values for Legal CBR,Trevor J. M. Bench-Capon; Katie Atkinson,,conf/jurix/Bench-CaponA17
19,21.83,JURIX,2018,1,10,4,5,13,0,,Lessons from Implementing Factors with Magnitude,Trevor J. M. Bench-Capon; Katie Atkinson,https://doi.org/10.3233/978-1-61499-935-5-11,conf/jurix/Bench-CaponA18
20,21.81,JURIX,2020,1,10,0,0,1,8,bounded-deontics|defeasible-fm,Free Choice Permission in Defeasible Deontic Logic,Guido Governatori; Antonino Rotolo,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA200853,conf/jurix/GovernatoriR20
21,21.79,ICAIL,2009,1,11,2,2,78,3,defeasible-fm,Legal reasoning with argumentation schemes,Thomas F. Gordon; Douglas Walton,,conf/icail/GordonW09
22,21.78,ICAIL,2007,1,9,3,6,41,1,defeasible-fm,Formalising arguments about the burden of persuasion,Henry Prakken; Giovanni Sartor,https://doi.org/10.2139/ssrn.998206,conf/icail/PrakkenS07
23,21.59,JURIX,2011,1,5,7,7,21,0,,Relating Values in a Series of Supreme Court Decisions,Trevor J. M. Bench-Capon,,conf/jurix/Bench-Capon11
24,21.15,ICAIL,2017,0,8,6,7,18,0,,Reasoning with dimensions and magnitudes,John F. Horty,,conf/icail/Horty17
25,20.77,ICAIL,2001,1,7,2,3,65,3,defeasible-fm|intro-executable,A formal approach to legal negotiation,Guido Governatori; Marlon Dumas; Arthur H. M. ter Hofstede; Phillipa Oaks,http://espace.library.uq.edu.au/view/UQ:9619/governatori.pdf,conf/icail/GovernatoriDHO01
26,20.71,ICAIL,2023,1,5,1,1,8,17,bounded-deontics|defeasible-fm|determinacy,Deontic Ambiguities in Legal Reasoning,Guido Governatori; Antonino Rotolo,https://hdl.handle.net/11585/961928,conf/icail/GovernatoriR23
